设备名称,品牌,型号/规格,SN码,数量,状态
防火墙电源适配器,paloalto,PAN-PA-4000-POE-PWR-150W,,2,在库
显示支架,NB,MODEL-F80-XE,,1,在库
配件,NB,MODEL-FP-2,,1,在库
32寸显示器,三星,LH32QMCEBGCXXF,0SBJHNDY700042,1,在库
数字无绳电话,摩托罗拉,CL101C,,2,在库
键鼠套装,罗技,MK275,,2,在库
按键电话机,伟易达,V9\T10,,2,在库
电视机,三星,QM50C,0R48HNFL200474,1,在库
显示器,HP,HP 524pf Monitor,CN45340S5G,1,在库
显示器,HP,HP 524pf Monitor,CN45340S4J,1,在库
显示器,HP,HP 524pf Monitor,CN45340S5B,1,在库
显示器,HP,HP 524pf Monitor,CN45340S0D,1,在库
显示器,HP,HP 524pf Monitor,CN45340S6Q,1,在库
硬盘,DELL,16TB硬盘,,3,在库
60W电源适配器,台达,ADP-60KD,,10,在库
开关电源,灏越,5V-200W电源,,2,在库
高清触摸屏幕,星网视易,,,1,在库
,SHURE,UA844+SWB/LC-C,6EH26378890,1,在库
单通道手持话筒,SHURE,BLX24RCN/SM58-M17,3EI28639620,1,在库
单通道手持话筒,SHURE,BLX24RCN/SM58-M17,3DD13732556,1,在库
话筒天线,SHURE,UA864LO,,2,在库
领夹麦克,SHURE,MV-TWO-KIT-CHN-Z7,3EA02000227,1,在库
领夹麦克,SHURE,BLX14RCN/W85-M17,3DE15607622,1,在库
充电器,浩客,S760 7 PORT,,5,在库
摄像头,索尼,SRG-X40UH,3600969,1,在库
显示器,INNOCN,2710U PLUS,NBXS61106406E90967,1,在库
键鼠套,罗技,KM725,,1,在库
音频处理器,biamp,TesiraFORTE DAN CI,06136771,1,在库
4K高清8X8固态矩阵,crestrom,HD-MD8X8-4KZ-E,2308NEJ13785,1,在库
HDMI长传发送器,crestrom,DM-TX-4KZ-302-C,"1833NEJ11814
1829NEJ06016
1831NEJ10226
2349JBM05729
1831NEJ10237",1,在库
HDMI长传4K接收器,crestrom,DM-RMC-4KZ-SCALER-C,"2329JBM05466
2329JBM01105
2329JBM05486
1931JBH21644
1926JBH16284",1,在库
HDMI高清收发送器,crestrom,HD-RXC-4KZ-101,"2430JBM03127
2430JBM02710
2430JBM02091
2430JBM03034",1,在库
HDMI高清收发送器,crestrom,HD-TXC-4KZ-101,"2522JBH02493
2513JBH09777
2522JBH02773
2512JBH03999",1,在库
中控主机,crestrom,CP4,2409JBH11098,1,在库
海外版门禁主机,海康威视,DS0-L2602T,GS8898292,1,在库
硬盘,希捷,6T,,1,在库
玻璃破碎,Button,DS-K7PEB,,1,在库
开关按钮,Button,DS-K7P01,,1,在库
单门磁力锁,海康威视,DS-K4H250S,,2,在库
磁力锁支架,海康威视,DS-K4H250-LZ,,2,在库
2通道功放,crown,NXLi2500-2-cn,,2,在库
扬声器,QSC,AC-C6T,,3,在库
广播套装,纽曼,R15,,3,在库
门禁电源,海康威视,DS-K7B-12V5A,,1,在库
出门开关,海康威视,EB29,,1,在库
玻璃破碎按钮,-,DS-K7PEB,,1,在库
硬盘,希捷,8T,,1,在库
Microsoft Surface,微软,"Microsoft Surface Pro for Business Intel R CoreTM Ultra 5 Processor 236V16GB · Go RAM · Gt RAM256GB·Go·Gt
Black","BK333KH26073R3
BK3343426033R3
BK36K8W25413R3",1,在库
AI督导服务器,万店掌,Dolphin1-8-u2s-8chp,2616521105551,1,在库
网络摄像机,万店掌,D6P-C 4mm(DC),"2543151044922
2543151044601
2543151044618
2543151044656
2543151044700",1,在库
门禁,海康威视,DS-K1T341CMF,"GT6319708
GT6319709",1,在库
